fecha,producto,categoria,cantidad,precio_unitario,total,dia_semana,mes,semana_anio,es_finde,es_feriado,es_puente,dias_distancia_cobro,pico_comida_rapida,fase_liquidez,promocion,es_evento_especial,lluvia_nocturna_mm,temp_nocturna_promed
2022-08-19,La Sencilla,Hamburguesas,30,2.0,60.0,4,8,33,0,0,0,4,0,1,1,0,0.6,25.72
2022-08-19,La Especial,Hamburguesas,12,2.25,27.0,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,La Sub-Especial,Hamburguesas,4,2.75,11.0,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,La Completa,Hamburguesas,12,3.0,36.0,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,Pollo Sencilla,Hamburguesas,3,2.75,8.25,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,Pollo Completa,Hamburguesas,1,3.25,3.25,4,8,33,0,0,0,4,0,1,1,0,0.6,25.72
2022-08-19,Lomo Sencilla,Hamburguesas,16,3.25,52.0,4,8,33,0,0,0,4,0,1,1,0,0.6,25.72
2022-08-19,Lomo Completa,Hamburguesas,3,3.75,11.25,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,Chancho Sencilla,Hamburguesas,8,2.75,22.0,4,8,33,0,0,0,4,0,1,1,0,0.6,25.72
2022-08-19,Chancho Completa,Hamburguesas,2,3.25,6.5,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,Doble Carne,Hamburguesas,4,3.75,15.0,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,La Monster,Hamburguesas,1,4.25,4.25,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,Pepito Sencillo,Pepito,15,7.0,105.0,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
2022-08-19,Pepito Completo,Pepito,18,8.5,153.0,4,8,33,0,0,0,4,0,1,1,0,0.6,25.72
2022-08-19,Pepito Pollo,Pepito,4,8.0,32.0,4,8,33,0,0,0,4,0,1,0,0,0.6,25.72
