fecha,producto,categoria,cantidad,precio_unitario,total,dia_semana,mes,semana_anio,es_finde,es_feriado,es_puente,es_quincena,promocion,descuento_pct
2020-07-23,Hamburguesa Clásica,Platos,33,4.5,148.5,3,7,30,0,0,0,0,1,0
2020-07-23,Hamburguesa Especial,Platos,13,6.5,84.5,3,7,30,0,0,0,0,0,0
2020-07-23,Pizza Familiar,Platos,13,12.0,156.0,3,7,30,0,0,0,0,0,25
2020-07-23,Pizza Personal,Platos,20,7.0,140.0,3,7,30,0,0,0,0,1,0
2020-07-23,Papas Fritas,Acompañamientos,27,2.5,67.5,3,7,30,0,0,0,0,0,0
2020-07-23,Papas con Queso,Acompañamientos,15,3.5,52.5,3,7,30,0,0,0,0,0,0
2020-07-23,Pollo Broaster,Platos,18,6.5,117.0,3,7,30,0,0,0,0,0,0
2020-07-23,Alitas BBQ,Acompañamientos,10,8.0,80.0,3,7,30,0,0,0,0,0,0
2020-07-23,Gaseosa,Bebidas,31,1.5,46.5,3,7,30,0,0,0,0,0,0
2020-07-23,Jugo Natural,Bebidas,22,2.0,44.0,3,7,30,0,0,0,0,0,0
2020-07-23,Ensalada César,Acompañamientos,10,5.0,50.0,3,7,30,0,0,0,0,0,0
2020-07-23,Hot Dog,Platos,15,3.0,45.0,3,7,30,0,0,0,0,1,0
2020-07-23,Brownie,Postres,10,2.5,25.0,3,7,30,0,0,0,0,0,0
2020-07-24,Hamburguesa Clásica,Platos,32,4.5,144.0,4,7,30,0,0,0,0,0,0
2020-07-24,Hamburguesa Especial,Platos,27,6.5,175.5,4,7,30,0,0,0,0,1,0
2020-07-24,Pizza Familiar,Platos,28,12.0,336.0,4,7,30,0,0,0,0,0,0
2020-07-24,Pizza Personal,Platos,35,7.0,245.0,4,7,30,0,0,0,0,0,15
2020-07-24,Papas Fritas,Acompañamientos,58,2.5,145.0,4,7,30,0,0,0,0,0,0
2020-07-24,Papas con Queso,Acompañamientos,27,3.5,94.5,4,7,30,0,0,0,0,0,0
2020-07-24,Pollo Broaster,Platos,23,6.5,149.5,4,7,30,0,0,0,0,0,0
2020-07-24,Alitas BBQ,Acompañamientos,33,8.0,264.0,4,7,30,0,0,0,0,0,0
2020-07-24,Gaseosa,Bebidas,65,1.5,97.5,4,7,30,0,0,0,0,0,0
2020-07-24,Jugo Natural,Bebidas,41,2.0,82.0,4,7,30,0,0,0,0,0,0
2020-07-24,Ensalada César,Acompañamientos,19,5.0,95.0,4,7,30,0,0,0,0,1,0
2020-07-24,Hot Dog,Platos,20,3.0,60.0,4,7,30,0,0,0,0,0,0
2020-07-24,Brownie,Postres,20,2.5,50.0,4,7,30,0,0,0,0,0,0
2020-07-25,Hamburguesa Clásica,Platos,40,4.5,180.0,5,7,30,1,0,0,0,0,0
2020-07-25,Hamburguesa Especial,Platos,33,6.5,214.5,5,7,30,1,0,0,0,0,10
2020-07-25,Pizza Familiar,Platos,30,12.0,360.0,5,7,30,1,0,0,0,0,0
2020-07-25,Pizza Personal,Platos,64,7.0,448.0,5,7,30,1,0,0,0,1,0
2020-07-25,Papas Fritas,Acompañamientos,55,2.5,137.5,5,7,30,1,0,0,0,0,0
2020-07-25,Papas con Queso,Acompañamientos,43,3.5,150.5,5,7,30,1,0,0,0,0,0
2020-07-25,Pollo Broaster,Platos,35,6.5,227.5,5,7,30,1,0,0,0,0,15
2020-07-25,Alitas BBQ,Acompañamientos,24,8.0,192.0,5,7,30,1,0,0,0,0,0
2020-07-25,Gaseosa,Bebidas,82,1.5,123.0,5,7,30,1,0,0,0,0,0
2020-07-25,Jugo Natural,Bebidas,36,2.0,72.0,5,7,30,1,0,0,0,0,0
2020-07-25,Ensalada César,Acompañamientos,18,5.0,90.0,5,7,30,1,0,0,0,0,0
2020-07-25,Hot Dog,Platos,18,3.0,54.0,5,7,30,1,0,0,0,0,10
2020-07-25,Brownie,Postres,17,2.5,42.5,5,7,30,1,0,0,0,0,0
2020-07-26,Hamburguesa Clásica,Platos,45,4.5,202.5,6,7,30,1,0,0,0,0,0
2020-07-26,Hamburguesa Especial,Platos,29,6.5,188.5,6,7,30,1,0,0,0,0,0
2020-07-26,Pizza Familiar,Platos,30,12.0,360.0,6,7,30,1,0,0,0,0,0
2020-07-26,Pizza Personal,Platos,36,7.0,252.0,6,7,30,1,0,0,0,0,0
2020-07-26,Papas Fritas,Acompañamientos,65,2.5,162.5,6,7,30,1,0,0,0,0,30
2020-07-26,Papas con Queso,Acompañamientos,24,3.5,84.0,6,7,30,1,0,0,0,0,0
2020-07-26,Pollo Broaster,Platos,25,6.5,162.5,6,7,30,1,0,0,0,0,0
2020-07-26,Alitas BBQ,Acompañamientos,28,8.0,224.0,6,7,30,1,0,0,0,0,20
2020-07-26,Gaseosa,Bebidas,76,1.5,114.0,6,7,30,1,0,0,0,0,0
2020-07-26,Jugo Natural,Bebidas,48,2.0,96.0,6,7,30,1,0,0,0,0,20
2020-07-26,Ensalada César,Acompañamientos,11,5.0,55.0,6,7,30,1,0,0,0,0,0
2020-07-26,Hot Dog,Platos,23,3.0,69.0,6,7,30,1,0,0,0,0,0
2020-07-26,Brownie,Postres,19,2.5,47.5,6,7,30,1,0,0,0,0,0
2020-07-27,Hamburguesa Clásica,Platos,17,4.5,76.5,0,7,31,0,0,0,0,0,0
2020-07-27,Hamburguesa Especial,Platos,14,6.5,91.0,0,7,31,0,0,0,0,0,20
2020-07-27,Pizza Familiar,Platos,10,12.0,120.0,0,7,31,0,0,0,0,0,0
2020-07-27,Pizza Personal,Platos,15,7.0,105.0,0,7,31,0,0,0,0,0,30
2020-07-27,Papas Fritas,Acompañamientos,25,2.5,62.5,0,7,31,0,0,0,0,0,25
2020-07-27,Papas con Queso,Acompañamientos,13,3.5,45.5,0,7,31,0,0,0,0,0,0
2020-07-27,Pollo Broaster,Platos,15,6.5,97.5,0,7,31,0,0,0,0,0,25
2020-07-27,Alitas BBQ,Acompañamientos,9,8.0,72.0,0,7,31,0,0,0,0,0,0
2020-07-27,Gaseosa,Bebidas,26,1.5,39.0,0,7,31,0,0,0,0,0,0
2020-07-27,Jugo Natural,Bebidas,16,2.0,32.0,0,7,31,0,0,0,0,0,0
2020-07-27,Ensalada César,Acompañamientos,7,5.0,35.0,0,7,31,0,0,0,0,0,0
2020-07-27,Hot Dog,Platos,8,3.0,24.0,0,7,31,0,0,0,0,0,0
2020-07-27,Brownie,Postres,9,2.5,22.5,0,7,31,0,0,0,0,0,0
2020-07-28,Hamburguesa Clásica,Platos,24,4.5,108.0,1,7,31,0,0,0,0,0,0
2020-07-28,Hamburguesa Especial,Platos,15,6.5,97.5,1,7,31,0,0,0,0,1,0
2020-07-28,Pizza Familiar,Platos,11,12.0,132.0,1,7,31,0,0,0,0,0,10
2020-07-28,Pizza Personal,Platos,12,7.0,84.0,1,7,31,0,0,0,0,0,0
2020-07-28,Papas Fritas,Acompañamientos,25,2.5,62.5,1,7,31,0,0,0,0,0,15
2020-07-28,Papas con Queso,Acompañamientos,15,3.5,52.5,1,7,31,0,0,0,0,0,0
2020-07-28,Pollo Broaster,Platos,16,6.5,104.0,1,7,31,0,0,0,0,0,0
2020-07-28,Alitas BBQ,Acompañamientos,8,8.0,64.0,1,7,31,0,0,0,0,0,0
2020-07-28,Gaseosa,Bebidas,37,1.5,55.5,1,7,31,0,0,0,0,0,0
2020-07-28,Jugo Natural,Bebidas,13,2.0,26.0,1,7,31,0,0,0,0,0,25
2020-07-28,Ensalada César,Acompañamientos,10,5.0,50.0,1,7,31,0,0,0,0,0,0
2020-07-28,Hot Dog,Platos,11,3.0,33.0,1,7,31,0,0,0,0,0,10
2020-07-28,Brownie,Postres,14,2.5,35.0,1,7,31,0,0,0,0,1,0
