n_estimators,max_depth,min_samples_leaf,accuracy,f1_macro,f1_weighted,segundos
400,15.0,4,0.587,0.5877,0.5883,58.2
400,15.0,2,0.587,0.5877,0.5884,46.7
400,,4,0.587,0.5876,0.5882,49.1
400,15.0,1,0.587,0.5875,0.5882,49.7
300,15.0,4,0.587,0.5874,0.5881,32.8
400,,2,0.587,0.5873,0.5879,48.0
300,,4,0.587,0.5872,0.5879,37.0
300,15.0,2,0.587,0.5872,0.5879,37.9
400,,1,0.587,0.5871,0.5878,48.7
400,10.0,4,0.587,0.587,0.5877,38.2
200,15.0,4,0.587,0.587,0.5877,27.6
300,15.0,1,0.587,0.587,0.5877,36.2
300,,2,0.587,0.587,0.5877,38.3
150,10.0,1,0.587,0.5869,0.5876,28.3
200,10.0,1,0.587,0.5869,0.5876,23.3
150,10.0,2,0.587,0.5869,0.5877,23.8
400,10.0,2,0.587,0.5869,0.5876,37.0
400,10.0,1,0.587,0.5869,0.5876,37.3
300,,1,0.587,0.5869,0.5876,41.3
200,10.0,2,0.587,0.5869,0.5876,23.5
300,10.0,4,0.587,0.5869,0.5876,30.5
300,10.0,1,0.587,0.5869,0.5876,29.9
300,10.0,2,0.587,0.5868,0.5875,30.1
200,10.0,4,0.587,0.5868,0.5875,26.5
150,10.0,4,0.587,0.5867,0.5875,22.6
200,,1,0.587,0.5866,0.5873,32.2
200,,4,0.587,0.5866,0.5873,28.5
150,15.0,4,0.587,0.5866,0.5873,27.4
200,15.0,2,0.587,0.5866,0.5873,26.6
200,15.0,1,0.587,0.5866,0.5873,27.8
200,,2,0.587,0.5865,0.5873,29.5
150,15.0,1,0.587,0.5862,0.587,31.2
150,,2,0.587,0.5861,0.5869,21.5
150,15.0,2,0.587,0.586,0.5868,24.5
150,,4,0.587,0.586,0.5867,24.4
150,,1,0.587,0.5857,0.5865,24.6
200,8.0,1,0.587,0.5829,0.5841,22.9
150,8.0,4,0.587,0.5827,0.584,20.6
200,8.0,4,0.587,0.5826,0.5839,21.9
150,8.0,1,0.587,0.5825,0.5837,18.4
300,8.0,1,0.587,0.5825,0.5837,27.9
400,8.0,1,0.587,0.5823,0.5836,36.2
300,8.0,4,0.587,0.582,0.5833,28.5
300,8.0,2,0.587,0.5818,0.5831,28.0
400,8.0,2,0.587,0.5818,0.5831,33.8
150,8.0,2,0.587,0.5817,0.583,20.1
200,8.0,2,0.587,0.5816,0.583,19.3
400,8.0,4,0.587,0.5815,0.5828,37.2
